Time (EET),Open,High,Low,Close,Volume 
2010.05.03 00:00:00,1.32982,1.33598,1.32982,1.33342,926.6
2010.05.03 00:15:00,1.33329,1.33357,1.33274,1.33317,527.7
2010.05.03 00:30:00,1.33305,1.33378,1.33251,1.33369,501.1
2010.05.03 00:45:00,1.33358,1.3348,1.33292,1.33328,686.9
2010.05.03 01:00:00,1.33325,1.33329,1.33118,1.33208,482.7
2010.05.03 01:15:00,1.33209,1.33316,1.33162,1.33213,415.5
2010.05.03 01:30:00,1.33206,1.33224,1.33131,1.3316,465.4
2010.05.03 01:45:00,1.33164,1.33221,1.33109,1.33196,554.8
2010.05.03 02:00:00,1.33198,1.33272,1.3317,1.33183,656.1
2010.05.03 02:15:00,1.33191,1.33242,1.33173,1.33201,486.4
2010.05.03 02:30:00,1.33206,1.33259,1.33177,1.33243,530.3
2010.05.03 02:45:00,1.33248,1.33257,1.33096,1.33122,555.4
2010.05.03 03:00:00,1.33127,1.33141,1.32848,1.32888,532.5
2010.05.03 03:15:00,1.32872,1.32959,1.3285,1.32925,543.5
2010.05.03 03:30:00,1.32903,1.3293,1.32604,1.32652,495.3
2010.05.03 03:45:00,1.32629,1.32696,1.32556,1.32585,626.9
2010.05.03 04:00:00,1.3263,1.32729,1.32604,1.32682,524.2
2010.05.03 04:15:00,1.32693,1.32697,1.32309,1.32309,510.6
2010.05.03 04:30:00,1.3232,1.32395,1.32269,1.32308,419.3
2010.05.03 04:45:00,1.32302,1.32302,1.32118,1.3225,530.4
2010.05.03 05:00:00,1.3223,1.3228,1.32071,1.32126,674.8
2010.05.03 05:15:00,1.32134,1.32236,1.32096,1.32236,462.5
2010.05.03 05:30:00,1.32236,1.32301,1.3219,1.32274,523.2
2010.05.03 05:45:00,1.32275,1.32347,1.32231,1.32333,934
2010.05.03 06:00:00,1.32326,1.3236,1.32247,1.32289,1100.5
2010.05.03 06:15:00,1.32283,1.32295,1.32182,1.32213,748.1
2010.05.03 06:30:00,1.32204,1.32238,1.3217,1.3221,886
2010.05.03 06:45:00,1.32227,1.3224,1.32072,1.32142,789.4
2010.05.03 07:00:00,1.32136,1.32189,1.32037,1.32145,812.6
2010.05.03 07:15:00,1.32148,1.32245,1.32042,1.32189,603
2010.05.03 07:30:00,1.32182,1.32259,1.32138,1.32259,666.3
2010.05.03 07:45:00,1.32262,1.32277,1.32177,1.32197,600.8
2010.05.03 08:00:00,1.32216,1.32343,1.32211,1.32295,467.6
2010.05.03 08:15:00,1.32295,1.32337,1.32197,1.32242,705.7
2010.05.03 08:30:00,1.3226,1.32413,1.3221,1.32374,630.6
