feature,importance
volume_above_avg,2216.998291015625
relative_volume_20,823.0383911132812
volume_spike_ratio,756.4564819335938
volume_zscore,345.5428161621094
session_tokyo,285.3416442871094
volume_drought_duration,240.81129455566406
session_ny,204.6461944580078
atr_pctrank_21,134.41831970214844
time_sin,112.122802734375
session_overlap_london_ny,73.13241577148438
atr_pctrank_14,66.18148040771484
relative_volume_10,46.63733673095703
atr_zscore,43.616756439208984
dow_cos,38.16812515258789
atr_pctrank_7,29.28553009033203
relative_volume_50,28.106822967529297
time_cos,26.042383193969727
session_london,23.656543731689453
parkinson_volatility_10,23.582061767578125
dow_sin,23.099048614501953
parkinson_volatility_20,22.48619842529297
volatility_regime_state,22.04538917541504
garman_klass_volatility,21.665817260742188
atr_14,21.62359619140625
volatility_volume_alignment,21.28331184387207
atr_7,20.744586944580078
parkinson_volatility_50,18.773738861083984
participation_strength,18.216449737548828
atr_expansion_ratio_21,17.84862518310547
volatility_breakout_strength,17.55607032775879
atr_21,17.473020553588867
obv_momentum,17.345975875854492
realized_volatility_20,17.25983238220215
obv_divergence_strength,16.508272171020508
realized_volatility_50,16.490955352783203
volatility_compression_duration,16.090871810913086
bb_width,15.561107635498047
bb_squeeze_duration,15.24535083770752
realized_volatility_10,15.136302947998047
obv_slope_20,14.594659805297852
compression_intensity,14.316986083984375
volatility_compression_ratio,14.10113525390625
bb_squeeze,14.020393371582031
bars_since_squeeze_end,14.003880500793457
expansion_streak,13.65526008605957
obv_slope_10,13.556264877319336
expansion_frequency_20,13.541583061218262
bb_width_pctrank,13.17745590209961
volume_pctrank,13.169487953186035
volume_consistency,13.067344665527344
atr_expansion_ratio_7,13.062847137451172
atr_expansion_ratio_14,12.998080253601074
bars_since_expansion,12.792540550231934
volume_surge_count,12.369037628173828
volatility_stability,12.361445426940918
volume_momentum_5,12.245353698730469
atr_slope_21,12.032546043395996
tr_expansion_ratio,11.978996276855469
volatility_of_volatility,11.971582412719727
bb_expansion_strength,11.537542343139648
vwap_deviation,11.536505699157715
candle_range_ratio,11.310558319091797
volume_efficiency,11.128342628479004
obv_slope_5,11.124530792236328
obv_zscore,11.054244041442871
atr_slope_14,10.986568450927734
volume_weighted_momentum,10.912439346313477
money_flow_index,10.90410041809082
range_expansion_ratio,10.666460037231445
atr_slope_7,10.379058837890625
compression_release,10.315276145935059
bb_width_change,10.290495872497559
volatility_expansion_velocity,10.223389625549316
bb_position,10.018707275390625
directional_volume_ratio,9.775805473327637
volume_acceleration,9.403027534484863
candle_body_pct,9.046710014343262
range_compression_duration,8.714851379394531
volume_pressure,8.703936576843262
directional_candle_strength,8.691668510437012
body_dominance,8.6541109085083
candle_strength,8.637027740478516
shadow_ratio,8.550795555114746
wick_percentage,8.091123580932617
volume_spike,4.668937683105469
